player	address	balanceWeiBefore	topupWei
1	0x373c73a96C40F82D8E684448527E78Aa90572AaA	5130858058252727	0
2	0xd5B820002455D9E19044b2830Bb30eD813bf3424	12110077438675874	0
3	0xbae5f91Cca261A85b7f2BCCb02b1de5F6cE88384	7345854115199541	0
4	0x99026D4196D093F6a315408775b00312Fc1F5797	13748100962358545	0
5	0xE88E974c584aE6F222371f4f4D68564D534cc29d	13652481242448516	0
6	0xc5AB7152c9ea027c753589D343934c4E5CD5d305	3029104951674323	1970895048325677
7	0xC52D960200545832167756854c178fD724A5565b	2876198172460149	2123801827539851
8	0x1d0E244a40D59eB6eCF9c62ec0c07Ed77723a35c	3029107811694563	1970892188305437
9	0xBD592997601d44dfC40B7fD3B7FA5b506392B6A7	3114791496363808	1885208503636192
10	0xf8A384913Aa0895e37A11E469EAD1C7Fc1db57F7	3114808397460270	1885191602539730
11	0x41Aa374bBF153E755e32A8d6a3f865ff047A9FaB	3039052717254038	1960947282745962
12	0x75c0B76AdC78eb2Ca867BbecDaFF2EB31f18c492	3039050531336612	1960949468663388
13	0x1899BD66aF9b1C98cc243aC5537b8D73eae950cF	3114808336432435	1885191663567565
14	0x4A5eFa2B26015F277b00233E3893D0E92131780d	3039086398689174	1960913601310826
15	0x4E228BE0901a7c274Ba16d0499f320F796a3c9BF	3114773436363811	1885226563636189
16	0xfE2A2d2cD4d423Df9b60ddad5BCA09b262428975	3039064493784208	1960935506215792
17	0x405891A535E1802bC3b9B02Bd808AE32DB4570df	3312897992731690	1687102007268310
18	0xc1E95Db1F919f6381F77CC1F73F88D2867bE251B	3291473560294806	1708526439705194
19	0x5326aAB2630aD92dd19485643075632E5856B621	3312897992535988	1687102007464012
20	0xb3ac4868F83beE82d2993C580B1D4B7717652709	3291502657294874	1708497342705126
21	0xddDcf99A3dB347F8464D12541D7A4207694C6515	3291504694999466	1708495305000534
22	0x03b8D945FD329B8fFf754F7821fd479e5f3D899b	3291522754999466	1708477245000534
23	0x55c4b7E46A01D7023929359126ab04a5Da6c045B	3291491533460478	1708508466539522
24	0xcC383467a2DBE08Ad0d71A5EE82ffe99c544085E	3291522754999466	1708477245000534
25	0xe033310Dd4DBD32C011B0DB1E5f636594E33050f	3312859678157202	1687140321842798
26	0x5b6BA41AC71e2201609eC81BaaE4f876aabb303E	3312861872535993	1687138127464007
27	0x5f24946dfaaa238255F759bdD774505BbA4C5D8E	3291486634999466	1708513365000534
28	0xd7cF069cE508aF03C8D4611679Db3ff50B92709f	3312879932535993	1687120067464007
29	0x5032bD27718a3d0Ba9098EfED91de48b17dc4915	3291504694999466	1708495305000534
30	0x86772124fe3e21069FC72dC8345d0465c0492563	3291473633223798	1708526366776202
31	0xdb7bAca89282130D98dfD125b4CBC1188310C635	3291504694999466	1708495305000534
32	0x3D47Ed4b80bb9331c99F7DD6f7d18456Aed48Dd2	3312908481833775	1687091518166225
