player	address	balanceWeiBefore	topupWei
1	0x373c73a96C40F82D8E684448527E78Aa90572AaA	2454607118239898	2545392881760102
2	0xd5B820002455D9E19044b2830Bb30eD813bf3424	4114211866290905	885788133709095
3	0xbae5f91Cca261A85b7f2BCCb02b1de5F6cE88384	2738495996625075	2261504003374925
4	0x99026D4196D093F6a315408775b00312Fc1F5797	5884354400404404	0
5	0xE88E974c584aE6F222371f4f4D68564D534cc29d	5713016458431183	0
6	0xc5AB7152c9ea027c753589D343934c4E5CD5d305	2764213011707202	2235786988292798
7	0xC52D960200545832167756854c178fD724A5565b	2764247610264795	2235752389735205
8	0x1d0E244a40D59eB6eCF9c62ec0c07Ed77723a35c	2764282615342111	2235717384657889
9	0xBD592997601d44dfC40B7fD3B7FA5b506392B6A7	2839946345387556	2160053654612444
10	0xf8A384913Aa0895e37A11E469EAD1C7Fc1db57F7	2839946053491340	2160053946508660
11	0x41Aa374bBF153E755e32A8d6a3f865ff047A9FaB	2839893221185136	2160106778814864
12	0x75c0B76AdC78eb2Ca867BbecDaFF2EB31f18c492	2839948177000774	2160051822999226
13	0x1899BD66aF9b1C98cc243aC5537b8D73eae950cF	2839931317642394	2160068682357606
14	0x4A5eFa2B26015F277b00233E3893D0E92131780d	2839932054597194	2160067945402806
15	0x4E228BE0901a7c274Ba16d0499f320F796a3c9BF	2839932054597194	2160067945402806
16	0xfE2A2d2cD4d423Df9b60ddad5BCA09b262428975	2839895678494453	2160104321505547
17	0x405891A535E1802bC3b9B02Bd808AE32DB4570df	2918218084414610	2081781915585390
18	0xc1E95Db1F919f6381F77CC1F73F88D2867bE251B	2918236909775078	2081763090224922
19	0x5326aAB2630aD92dd19485643075632E5856B621	3019375726264331	1980624273735669
20	0xb3ac4868F83beE82d2993C580B1D4B7717652709	2918182749034125	2081817250965875
21	0xddDcf99A3dB347F8464D12541D7A4207694C6515	2918182391797748	2081817608202252
22	0x03b8D945FD329B8fFf754F7821fd479e5f3D899b	2918201139604068	2081798860395932
23	0x55c4b7E46A01D7023929359126ab04a5Da6c045B	2918200829372665	2081799170627335
24	0xcC383467a2DBE08Ad0d71A5EE82ffe99c544085E	2918218589248953	2081781410751047
25	0xe033310Dd4DBD32C011B0DB1E5f636594E33050f	2918219711004894	2081780288995106
26	0x5b6BA41AC71e2201609eC81BaaE4f876aabb303E	2918220669132480	2081779330867520
27	0x5f24946dfaaa238255F759bdD774505BbA4C5D8E	2918202609132480	2081797390867520
